P1xpos,P1ypos,P1zpos,P1Heading,Targetxpos,Targetypos,Targetzpos,O1xpos,O1ypos,O1zpos,O2xpos,O2ypos,O2zpos,O3xpos,O3ypos,O3zpos,O4xpos,O4ypos,O4zpos,O5xpos,O5ypos,O5zpos,O6xpos,O6ypos,O6zpos,O7xpos,O7ypos,O7zpos,O8xpos,O8ypos,O8zpos,Space,LeftArrow,RightArrow,targethit,trialtime
-16,1.1,-5,-1.192093E-07,16,1,-12,8.7779,1,-12.66,-6.16,1,12.42,0.2678,1,6.454,-2.3277,1,-6.07,3.8723,1,14.854,5.22,1,0.1,-5.29,1,1.507,5,1,-10,False,False,False,None,31.12
-16,1.1,-5,-1.192093E-07,16,1,-12,8.777901,1,-12.66,-6.16,1,12.42,0.2677994,1,6.454,-2.3277,1,-6.07,3.872299,1,14.854,5.219999,1,0.1,-5.290001,1,1.507,5,1,-10,False,False,False,None,31.14
-16,1.1,-5,-1.192093E-07,16,1,-12,8.777901,1,-12.66,-6.16,1,12.42,0.2677994,1,6.454,-2.3277,1,-6.07,3.872299,1,14.854,5.219999,1,0.1,-5.290001,1,1.507,5,1,-10,False,False,False,None,31.16
-16,1.1,-5,-1.192093E-07,16,1,-12,8.777901,1,-12.66,-6.16,1,12.42,0.2677994,1,6.454,-2.3277,1,-6.07,3.872299,1,14.854,5.219999,1,0.1,-5.290001,1,1.507,5,1,-10,False,False,False,None,31.18
-16,1.1,-5,-1.192093E-07,16,1,-12,8.777901,1,-12.66,-6.16,1,12.42,0.2677994,1,6.454,-2.3277,1,-6.07,3.872299,1,14.854,5.219999,1,0.1,-5.290001,1,1.507,5,1,-10,False,False,False,None,31.2
-16,1.1,-5,-1.192093E-07,16,1,-12,8.777901,1,-12.66,-6.16,1,12.42,0.2677994,1,6.454,-2.3277,1,-6.07,3.872299,1,14.854,5.219999,1,0.1,-5.290001,1,1.507,5,1,-10,False,False,False,None,31.22
-16,1.1,-5,-1.192093E-07,16,1,-12,8.777901,1,-12.66,-6.16,1,12.42,0.2677994,1,6.454,-2.3277,1,-6.07,3.872299,1,14.854,5.219999,1,0.1,-5.290001,1,1.507,5,1,-10,False,False,False,None,31.24
-16,1.1,-5,-1.192093E-07,16,1,-12,8.777901,1,-12.66,-6.16,1,12.42,0.2677994,1,6.454,-2.3277,1,-6.07,3.872299,1,14.854,5.219999,1,0.1,-5.290001,1,1.507,5,1,-10,False,False,False,None,31.26
-16,1.1,-5,-1.192093E-07,16,1,-12,8.777901,1,-12.66,-6.16,1,12.42,0.2677994,1,6.454,-2.3277,1,-6.07,3.872299,1,14.854,5.219999,1,0.1,-5.290001,1,1.507,5,1,-10,False,False,False,None,31.28
-16,1.1,-5,-1.192093E-07,16,1,-12,8.777901,1,-12.66,-6.16,1,12.42,0.2677994,1,6.454,-2.3277,1,-6.07,3.872299,1,14.854,5.219999,1,0.1,-5.290001,1,1.507,5,1,-10,False,False,False,None,31.3
