P1xpos,P1ypos,P1zpos,P1Heading,Targetxpos,Targetypos,Targetzpos,O1xpos,O1ypos,O1zpos,O2xpos,O2ypos,O2zpos,O3xpos,O3ypos,O3zpos,O4xpos,O4ypos,O4zpos,O5xpos,O5ypos,O5zpos,O6xpos,O6ypos,O6zpos,O7xpos,O7ypos,O7zpos,O8xpos,O8ypos,O8zpos,Space,LeftArrow,RightArrow,targethit,trialtime
-15.80003,1.1,-5.00349,-0.01745337,16,1,12,5.37,1,0.87,11.25,1,-2.7,1.64,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0
-15.60015,1.1,-5.01047,-0.03490668,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.02
-15.40043,1.1,-5.020937,-0.05236001,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.04
-15.20091,1.1,-5.034889,-0.0698132,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.06
-15.00168,1.1,-5.05232,-0.08726642,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.08
-15.00168,1.1,-5.05232,-0.0698132,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.09999999
-15.00168,1.1,-5.05232,-0.05236001,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.12
-15.00168,1.1,-5.05232,-0.03490668,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.14
-15.00168,1.1,-5.05232,-0.01745348,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.16
-15.00168,1.1,-5.05232,-1.192093E-07,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.18
-15.00168,1.1,-5.05232,0.01745312,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.2
-15.00168,1.1,-5.05232,0.0349065,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.22
-15.00168,1.1,-5.05232,0.05235978,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.24
-15.00168,1.1,-5.05232,0.06981296,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.26
-15.00168,1.1,-5.05232,0.0872663,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.28
-14.80277,1.1,-5.031415,0.1047195,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.3
-14.60426,1.1,-5.007041,0.1221728,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.32
-14.40621,1.1,-4.979206,0.1396262,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.34
-14.20867,1.1,-4.947919,0.1570795,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.36
-14.01171,1.1,-4.91319,0.1745329,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.38
-13.81538,1.1,-4.875028,0.1919862,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.4
-13.61976,1.1,-4.833446,0.2094394,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.42
-13.42488,1.1,-4.788456,0.2268927,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.44
-13.23082,1.1,-4.740072,0.244346,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.46
-13.03764,1.1,-4.688308,0.2617994,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.48
-12.84358,1.1,-4.639924,0.244346,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.5
-12.6487,1.1,-4.594934,0.2268927,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.52
-12.45308,1.1,-4.553351,0.2094394,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.54
-12.25675,1.1,-4.51519,0.1919862,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.56
-12.05979,1.1,-4.48046,0.1745329,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.58
-11.86225,1.1,-4.449173,0.1570795,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.6
-11.6642,1.1,-4.421339,0.1396262,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.62
-11.46569,1.1,-4.396965,0.1221728,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.64
-11.26678,1.1,-4.37606,0.1047195,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.66
-11.06755,1.1,-4.358628,0.0872663,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.68
-10.86864,1.1,-4.337723,0.1047195,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.7
-10.67013,1.1,-4.313349,0.1221728,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.72
-10.47208,1.1,-4.285514,0.1396262,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.74
-10.27454,1.1,-4.254228,0.1570795,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.76
-10.07758,1.1,-4.219498,0.1745327,16,1,12,5.369999,1,0.87,11.25,1,-2.7,1.639999,1,14.11,10.81,1,7.28,-6.66,1,7.01,-10.64,1,-5.6,2.34,1,4.8,-5.34,1,-13.88,False,False,False,None,0.78
